#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-07-07T15:00:41 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51d982813182 
#INFO -out.max=unlimited 
#INFO queryParameters=6 
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-source=J/A+A/439/129/sample
#

#RESOURCE=yCat_34390129
#Name: J/A+A/439/129
#Title: HERES II. Spectroscopic analysis (Barklem+, 2005)
#Table J_A_A_439_129_sample:
#Name: J/A+A/439/129/sample
#Title: Sample: position, velocity, and derived stellar atmosphere parameters {\em(tables 1 and 2a of paper)}
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A10)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A9)    Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    Name               (a13)   Star name (1) [ucd=meta.id;meta.main]
#    RAJ2000 ("h:m:s")  (A10)   Right ascension (J2000) [ucd=pos.eq.ra;meta.main]
#    DEJ2000 ("d:m:s")  (A9)    Declination (J2000) [ucd=pos.eq.dec;meta.main]
#    RV (km/s)          (F6.1)  Barycentric radial velocity (2) [ucd=phys.veloc;pos.heliocentric]
#    S/N                (I3)    Average signal-to-noise ratio per pixel for the whole observed spectrum [ucd=stat.mean;instr.pixel]
#    Teff (K)           (I4)    Effective temperature [ucd=phys.temperature.effective]
#    logg ([cm/s+2])    (F5.2)  Surfave gravity [ucd=phys.gravity]
#    E_logg ([cm/s+2])  (F5.2)  Absolute rms error estimate on logg [ucd=stat.error;stat.max]
#    [Fe/H] ([Sun])     (F5.2)  Abundance [Fe/H] [ucd=phys.abund.Fe]
#    E_[Fe/H] ([Sun])   (F5.2)  Absolute rms error estimate on [Fe/H] [ucd=stat.error;stat.max]
#    Vt (km/s)          (F5.2)  Microturbulence velocity [ucd=phys.veloc.microTurb]
#    E_Vt (km/s)        (F5.2)  Absolute rms error estimate on Vt [ucd=stat.error;stat.max]
#---------- --------- ------------- ---------- --------- ------ --- ---- ----- ----- ----- ----- ----- -----
#                                                                              E_          E                
#                                                                        logg  logg  [Fe/  _[Fe/       E    
#_RAJ2000   _DEJ2000                RAJ2000    DEJ2000   RV         Teff ([cm/ ([cm/ H] ([ H] ([ Vt (  _Vt (
#("h:m:s")  ("d:m:s") Name          ("h:m:s")  ("d:m:s") (km/s) S/N (K)  s+2]) s+2]) Sun]) Sun]) km/s) km/s)
#---------- --------- ------------- ---------- --------- ------ --- ---- ----- ----- ----- ----- ----- -----
_RAJ2000, _DEJ2000, Name, RAJ2000, DEJ2000, RV, S/N, Teff, logg, E_logg, [Fe/H], E_[Fe/H], Vt, E_Vt
01 33 25.8, -27 25 28, HE 0131-2740 , 01 33 25.8, -27 25 28,   51.7,  28, 5351,  3.03,  0.38, -3.08,  0.18,  1.62,  0.25
01 33 36.4, -39 37 52, HE 0131-3953 , 01 33 36.4, -39 37 52,   67.5,  52, 5928,  3.83,  0.39, -2.71,  0.17,  1.06,  0.25
01 46 10.2, -11 20 10, HE 0143-1135 , 01 46 10.2, -11 20 10, -223.1,  43, 5629,  4.53,  0.34, -2.13,  0.18,  1.42,  0.26
01 45 19.9, -40 53 37, HE 0143-4108 , 01 45 19.9, -40 53 37,   55.5,  70, 5121,  2.41,  0.34, -2.62,  0.18,  1.51,  0.22
01 45 18.0, -41 31 48, HE 0143-4146 , 01 45 18.0, -41 31 48,  -16.3,  45, 4799,  1.50,  0.36, -2.94,  0.18,  2.03,  0.23
02 00 00.2, -33 21 23, HE 0157-3335 , 02 00 00.2, -33 21 23, -175.2,  81, 4775,  1.62,  0.34, -3.08,  0.19,  1.86,  0.22
02 03 16.2, -09 40 48, HE 0200-0955 , 02 03 16.2, -09 40 48,   73.6,  39, 5216,  2.57,  0.36, -2.46,  0.19,  1.79,  0.24
02 04 50.0, -21 50 10, HE 0202-2204 , 02 04 50.0, -21 50 10,  108.2,  82, 5280,  1.65,  0.32, -1.98,  0.19,  2.47,  0.22
02 33 44.3, -40 03 44, HE 0231-4016 , 02 33 44.3, -40 03 44,  180.8,  39, 5972,  3.59,  0.38, -2.08,  0.18,  1.67,  0.25
02 42 57.6, -07 54 35, HE 0240-0807 , 02 42 57.6, -07 54 35,  -98.8,  50, 4729,  1.54,  0.34, -2.68,  0.18,  1.96,  0.22
02 42 06.2, -60 53 03, HE 0240-6105 , 02 42 06.2, -60 53 03,  153.0,  73, 4720,  1.26,  0.35, -3.23,  0.18,  2.15,  0.22
02 46 14.1, -07 40 53, HE 0243-0753 , 02 46 14.1, -07 40 53,  -13.0,  71, 5066,  2.29,  0.34, -2.49,  0.19,  1.77,  0.22
02 45 36.2, -52 25 58, HE 0243-5238 , 02 45 36.2, -52 25 58,  112.3,  60, 5085,  2.35,  0.36, -3.04,  0.18,  1.64,  0.23
02 45 57.4, -40 59 08, HE 0244-4111 , 02 45 57.4, -40 59 08,  214.3,  46, 5624,  3.39,  0.36, -2.56,  0.17,  1.38,  0.24
02 50 59.0, +00 51 32, HE 0248+0039 , 02 50 59.0, +00 51 32,   48.9,  52, 5199,  2.57,  0.35, -2.53,  0.18,  1.75,  0.23
02 59 10.1, -10 58 01, HE 0256-1109 , 02 59 10.1, -10 58 01, -132.3,  16, 5891,  4.04,  0.44, -2.73,  0.18,  1.69,  0.34
03 03 04.0, -07 39 42, HE 0300-0751 , 03 03 04.0, -07 39 42,  155.5,  33, 5280,  2.97,  0.36, -2.27,  0.19,  1.61,  0.25
03 07 02.1, -45 09 00, HE 0305-4520 , 03 07 02.1, -45 09 00,  135.3,  56, 4817,  1.56,  0.35, -2.91,  0.18,  2.02,  0.23
03 11 09.8, -11 43 20, HE 0308-1154 , 03 11 09.8, -11 43 20,   13.4,  34, 4984,  2.05,  0.37, -2.82,  0.18,  1.69,  0.24
03 17 39.0, +00 11 04, HE 0315+0000 , 03 17 39.0, +00 11 04, -120.8,  43, 5013,  2.11,  0.36, -2.73,  0.19,  1.72,  0.23
03 19 09.2, +02 24 54, HE 0316+0214 , 03 19 09.2, +02 24 54, -161.0,  35, 4639,  1.39,  0.37, -3.13,  0.17,  1.98,  0.24
03 18 56.2, -46 29 27, HE 0317-4640 , 03 18 56.2, -46 29 27,    9.3,  54, 5872,  4.10,  0.34, -2.33,  0.17,  1.49,  0.23
03 25 30.1, -45 19 31, HE 0323-4529 , 03 25 30.1, -45 19 31,  180.6,  41, 5127,  2.51,  0.37, -3.15,  0.18,  1.62,  0.24
03 30 45.2, -10 37 10, HE 0328-1047 , 03 30 45.2, -10 37 10,  -75.0,  52, 5301,  3.03,  0.34, -2.25,  0.18,  1.21,  0.23
03 32 07.3, -39 54 51, HE 0330-4004 , 03 32 07.3, -39 54 51,  227.0,  42, 5946,  3.78,  0.37, -2.20,  0.17,  1.53,  0.24
03 32 16.1, -41 34 49, HE 0330-4144 , 03 32 16.1, -41 34 49,  134.2,  46, 5961,  4.20,  0.34, -1.90,  0.17,  1.52,  0.24
03 32 41.8, -49 29 10, HE 0331-4939 , 03 32 41.8, -49 29 10,  273.4,  40, 5206,  2.60,  0.38, -2.90,  0.18,  1.55,  0.24
03 35 25.7, -39 51 48, HE 0333-4001 , 03 35 25.7, -39 51 48, -162.3,  46, 5892,  4.31,  0.36, -2.64,  0.17,  1.30,  0.24
03 38 31.7, -38 20 15, HE 0336-3829 , 03 38 31.7, -38 20 15, -109.1,  41, 5740,  3.22,  0.35, -2.75,  0.18,  1.48,  0.25
03 39 13.0, -51 18 16, HE 0337-5127 , 03 39 13.0, -51 18 16,   75.4,  46, 5247,  2.86,  0.35, -2.62,  0.18,  1.55,  0.24
03 39 54.9, -39 35 44, HE 0338-3945 , 03 39 54.9, -39 35 44,  177.7,  47, 6162,  4.09,  0.35, -2.41,  0.18,  1.33,  0.24
03 40 49.6, -40 17 36, HE 0339-4027 , 03 40 49.6, -40 17 36,   22.0,  55, 5896,  4.11,  0.34, -1.81,  0.18,  1.48,  0.24
03 42 04.7, -34 20 50, HE 0340-3430 , 03 42 04.7, -34 20 50,  228.1,  49, 5914,  3.81,  0.35, -1.95,  0.18,  1.59,  0.24
03 41 34.6, -53 46 17, HE 0340-5355 , 03 41 34.6, -53 46 17,  317.5,  59, 4862,  1.81,  0.35, -2.89,  0.18,  1.87,  0.22
03 43 07.9, -40 15 30, HE 0341-4024 , 03 43 07.9, -40 15 30,  211.8,  79, 6108,  4.20,  0.34, -1.82,  0.17,  1.41,  0.23
03 47 15.7, +01 49 03, HE 0344+0139 , 03 47 15.7, +01 49 03, -232.9,  42, 6291,  4.18,  0.36, -1.81,  0.18,  1.45,  0.25
03 49 18.4, -18 10 40, HE 0347-1819 , 03 49 18.4, -18 10 40,   -4.8,  59, 5198,  4.23,  0.34, -2.78,  0.19,  1.61,  0.25
03 53 59.5, -60 15 16, HE 0353-6024 , 03 53 59.5, -60 15 16,  178.8,  53, 5320,  3.15,  0.37, -3.17,  0.18,  1.49,  0.24
04 02 06.4, -29 08 47, HE 0400-2917 , 04 02 06.4, -29 08 47,  296.8,  61, 5065,  2.39,  0.35, -2.88,  0.18,  1.67,  0.23
04 03 49.8, -01 30 03, HE 0401-0138 , 04 03 49.8, -01 30 03,  137.4,  56, 4866,  1.76,  0.37, -3.34,  0.18,  1.45,  0.23
04 19 31.4, -08 14 19, HE 0417-0821 , 04 19 31.4, -08 14 19,   -8.5,  62, 5811,  4.83,  0.34, -2.33,  0.17,  1.40,  0.24
04 31 38.1, -43 57 49, HE 0430-4404 , 04 31 38.1, -43 57 49,  201.5,  49, 6214,  4.27,  0.35, -2.07,  0.17,  1.41,  0.24
04 31 31.1, -48 54 42, HE 0430-4901 , 04 31 31.1, -48 54 42,  208.7,  50, 5296,  3.12,  0.35, -2.72,  0.18,  1.32,  0.23
04 34 25.6, -09 16 50, HE 0432-0923 , 04 34 25.6, -09 16 50,  -66.5,  74, 5131,  2.64,  0.33, -3.19,  0.18,  1.54,  0.22
04 38 11.0, -40 03 01, HE 0436-4008 , 04 38 11.0, -40 03 01,  185.7,  40, 5431,  3.34,  0.34, -2.35,  0.18,  1.30,  0.24
04 43 20.4, -43 38 20, HE 0441-4343 , 04 43 20.4, -43 38 20,  165.0,  44, 5629,  3.59,  0.35, -2.52,  0.18,  1.29,  0.25
04 44 51.7, -12 28 46, HE 0442-1234 , 04 44 51.7, -12 28 46,  253.4,  77, 4604,  1.34,  0.34, -2.41,  0.20,  2.21,  0.22
04 49 01.0, -48 53 35, HE 0447-4858 , 04 49 01.0, -48 53 35,   88.5,  18, 5995,  3.86,  0.37, -1.69,  0.18,  1.35,  0.29
04 51 33.4, -47 00 03, HE 0450-4705 , 04 51 33.4, -47 00 03,   -6.3,  48, 5429,  3.34,  0.38, -3.10,  0.18,  1.49,  0.25
04 55 26.7, -47 53 42, HE 0454-4758 , 04 55 26.7, -47 53 42,  240.5,  77, 5388,  3.33,  0.35, -3.10,  0.18,  1.49,  0.23
05 02 48.1, -51 35 36, HE 0501-5139 , 05 02 48.1, -51 35 36,  199.3,  21, 5861,  3.54,  0.36, -2.38,  0.19,  1.49,  0.26
05 02 35.3, -56 40 20, HE 0501-5644 , 05 02 35.3, -56 40 20,   70.8,  41, 5033,  2.30,  0.35, -2.41,  0.19,  1.76,  0.23
05 13 59.5, -38 31 55, HE 0512-3835 , 05 13 59.5, -38 31 55,  276.2,  41, 4948,  2.01,  0.35, -2.40,  0.19,  1.90,  0.24
05 15 12.1, -45 54 10, HE 0513-4557 , 05 15 12.1, -45 54 10,   51.2,  19, 5629,  3.62,  0.38, -2.79,  0.18,  1.44,  0.30
05 18 12.9, -38 17 33, HE 0516-3820 , 05 18 12.9, -38 17 33,  153.5,  51, 5342,  3.05,  0.34, -2.33,  0.18,  1.48,  0.23
05 19 18.7, -19 49 13, HE 0517-1952 , 05 19 18.7, -19 49 13,   42.2,  69, 5254,  1.99,  0.35, -2.61,  0.19,  2.09,  0.22
05 19 59.1, -55 22 41, HE 0519-5525 , 05 19 59.1, -55 22 41,  377.4,  26, 5580,  3.48,  0.37, -2.52,  0.18,  1.45,  0.26
05 22 25.8, -17 46 08, HE 0520-1748 , 05 22 25.8, -17 46 08,    1.3,  72, 5272,  3.06,  0.34, -2.52,  0.18,  1.46,  0.22
05 27 04.4, -20 52 42, HE 0524-2055 , 05 27 04.4, -20 52 42,  255.3,  66, 4739,  1.57,  0.34, -2.58,  0.19,  1.95,  0.22
05 35 52.9, -46 13 36, HE 0534-4615 , 05 35 52.9, -46 13 36,  280.4,  53, 5506,  3.40,  0.34, -2.01,  0.18,  1.43,  0.23
05 39 46.1, -45 13 34, HE 0538-4515 , 05 39 46.1, -45 13 34,   59.2,  41, 5896,  3.97,  0.35, -1.52,  0.18,  1.52,  0.24
05 49 13.7, -45 39 04, HE 0547-4539 , 05 49 13.7, -45 39 04,  488.8,  94, 5152,  2.59,  0.34, -3.01,  0.18,  1.57,  0.22
09 01 32.3, -00 28 02, HE 0858-0016 , 09 01 32.3, -00 28 02,   48.6,  39, 4447,  0.75,  0.36, -2.73,  0.19,  2.35,  0.24
09 28 55.3, -05 21 39, HE 0926-0508 , 09 28 55.3, -05 21 39,  191.0, 124, 6249,  4.24,  0.35, -2.78,  0.17,  1.60,  0.22
09 40 43.0, +01 00 37, HE 0938+0114 , 09 40 43.0, +01 00 37,  -56.6, 307, 6777,  4.89,  0.33, -2.51,  0.17,  1.76,  0.21
09 54 17.4, -12 06 14, HE 0951-1152 , 09 54 17.4, -12 06 14,  353.9,  41, 5349,  4.75,  0.35, -2.62,  0.18,  1.42,  0.27
10 09 00.7, -22 33 29, HE 1006-2218 , 10 09 00.7, -22 33 29,  -19.6,  65, 6638,  4.62,  0.40, -2.69,  0.18,  1.79,  0.26
10 17 35.7, -00 42 24, HE 1015-0027 , 10 17 35.7, -00 42 24,   96.8,  47, 6315,  4.40,  0.37, -2.66,  0.17,  1.43,  0.25
10 47 16.5, -25 25 17, HE 1044-2509 , 10 47 16.5, -25 25 17,  386.7,  51, 5227,  2.78,  0.36, -2.89,  0.18,  1.84,  0.24
10 55 20.6, -26 04 47, HE 1052-2548 , 10 55 20.6, -26 04 47,  230.4,  93, 6534,  4.52,  0.35, -2.29,  0.17,  1.57,  0.23
10 56 47.7, -01 15 29, HE 1054-0059 , 10 56 47.7, -01 15 29,  234.0,  38, 4601,  1.19,  0.37, -3.34,  0.18,  2.21,  0.24
11 02 03.4, -01 34 15, HE 1059-0118 , 11 02 03.4, -01 34 15,  296.6,  49, 5560,  4.30,  0.35, -2.81,  0.18,  1.28,  0.28
11 02 55.5, -01 53 41, HE 1100-0137 , 11 02 55.5, -01 53 41,  318.1,  50, 6101,  4.25,  0.42, -2.92,  0.18,  1.29,  0.27
11 07 49.5, +00 11 38, HE 1105+0027 , 11 07 49.5, +00 11 38,   77.0,  43, 6132,  3.45,  0.35, -2.42,  0.19,  1.52,  0.24
11 22 43.2, -02 09 36, HE 1120-0153 , 11 22 43.2, -02 09 36,  228.4, 194, 6191,  4.09,  0.34, -2.77,  0.17,  0.68,  0.22
11 25 06.6, -14 46 04, HE 1122-1429 , 11 25 06.6, -14 46 04,  152.0,  44, 5787,  3.29,  0.37, -2.65,  0.18,  1.54,  0.25
11 27 27.0, -23 52 06, HE 1124-2335 , 11 27 27.0, -23 52 06,  180.4,  48, 5226,  2.68,  0.36, -2.95,  0.19,  1.65,  0.23
11 28 51.4, -17 51 44, HE 1126-1735 , 11 28 51.4, -17 51 44,  281.9,  46, 5689,  3.31,  0.38, -2.69,  0.18,  1.55,  0.25
11 29 50.5, -12 00 13, HE 1127-1143 , 11 29 50.5, -12 00 13,  228.5,  49, 5224,  2.64,  0.35, -2.73,  0.19,  1.59,  0.24
11 30 44.3, -08 39 56, HE 1128-0823 , 11 30 44.3, -08 39 56,  200.2,  65, 5909,  3.71,  0.35, -2.71,  0.18,  1.49,  0.23
11 34 32.1, +01 24 41, HE 1131+0141 , 11 34 32.1, +01 24 41,  267.7,  45, 5236,  2.98,  0.35, -2.48,  0.18,  1.63,  0.24
11 34 46.7, +01 09 01, HE 1132+0125 , 11 34 46.7, +01 09 01,   92.0,  50, 5732,  3.54,  0.36, -2.42,  0.18,  1.41,  0.23
11 34 51.0, +01 47 27, HE 1132+0204 , 11 34 51.0, +01 47 27,  238.2,  42, 5046,  2.25,  0.35, -2.55,  0.18,  1.68,  0.23
11 38 09.8, +01 22 44, HE 1135+0139 , 11 38 09.8, +01 22 44,   11.0,  47, 5487,  1.80,  0.36, -2.33,  0.18,  2.66,  0.22
