#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-25T15:21:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562cf2e93c78	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/AJ/147/136/table12
#-nav=cat:J/AJ/147/136&tab:{J/AJ/147/136/table12}&key:source=J/AJ/147/136/table12&HTTPPRM:&&-ref=VIZ562cf2e93c78&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Ion&-ignore=A=*&A=A&-out=Nl&-out=l_log(e)&-out=log(e)&-out=[X/Fe]&-out=s_[X/Fe]&-out=e_[X/Fe]&-out=e2_[X/Fe]&-out=e3_[X/Fe]&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/147/136/table12
#-source=J/AJ/147/136/table12
#-order=I
#-out=Ion
#-out=Nl
#-out=l_log(e)
#-out=log(e)
#-out=[X/Fe]
#-out=s_[X/Fe]
#-out=e_[X/Fe]
#-out=e2_[X/Fe]
#-out=e3_[X/Fe]
#-out=Name
#

#RESOURCE=yCat_51470136
#Name: J/AJ/147/136
#Title: Stars of very low metal abundance. VI. Abundances (Roederer+, 2014)
#Table	J_AJ_147_136_table12:
#Name: J/AJ/147/136/table12
#Title: Mean abundances
#Column	Ion	(A6)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	Nl	(I3)	Number of lines used	[ucd=meta.number]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error;phys.abund;arith.zp]
#Column	log(e)	(F5.2)	? Log mean abundance (log{epsilon})	[ucd=phys.abund;arith.zp]
#Column	[X/Fe]	(F5.2)	? Abundance relative to FeI and FeII	[ucd=phys.abund]
#Column	s_[X/Fe]	(F5.2)	? Statistical uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[X/Fe]	(F5.2)	? Total uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e2_[X/Fe]	(F5.2)	? Neutrals uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e3_[X/Fe]	(F5.2)	? Ions uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	Name	(A12)	Star identifier	[ucd=meta.id;meta.main]
Ion|Nl|l_log(e)|log(e)|[X/Fe]|s_[X/Fe]|e_[X/Fe]|e2_[X/Fe]|e3_[X/Fe]|Name
Nd II |  1| |-1.85|-0.18| 0.11| 0.18| 0.20| 0.13|CS 22166-016
Eu II |  3| |-2.37| 0.19| 0.13| 0.19| 0.21| 0.15|CS 22166-016
Gd II |  2|<|-1.21| 0.81|     |     |     |     |CS 22166-016
Dy II |  1| |-1.70| 0.29| 0.14| 0.20| 0.22| 0.15|CS 22166-016
Er II |  1| |-1.70| 0.47| 0.40| 0.43| 0.44| 0.41|CS 22166-016
Yb II |  1| |-2.10| 0.07| 0.12| 0.19| 0.21| 0.14|CS 22166-016
Hf II |  2|<|-0.94| 1.30|     |     |     |     |CS 22166-016
Pb I  |  1|<| 0.53| 1.71|     |     |     |     |CS 22166-016
Th II |  3|<|-1.95| 1.08|     |     |     |     |CS 22166-016
Fe I  | 99| | 4.65|-2.85| 0.07| 0.21| 0.00| 0.00|CS 22169-008
Fe II |  8| | 4.91|-2.59| 0.08| 0.15| 0.00| 0.00|CS 22169-008
Li I  |  1| | 2.02|     | 0.06| 0.20| 0.10| 0.21|CS 22169-008
C (CH)|  1| | 5.76|-0.08| 0.15| 0.25| 0.19| 0.20|CS 22169-008
N (NH)|  1|<| 5.85| 0.61|     |     |     |     |CS 22169-008
O I   |  2| | 6.71| 0.87| 0.08| 0.20| 0.11| 0.21|CS 22169-008
Mg I  |  6| | 5.23| 0.48| 0.05| 0.21| 0.09| 0.21|CS 22169-008
Al I  |  2| | 2.91|-0.68| 0.09| 0.29| 0.18| 0.29|CS 22169-008
Si I  |  1| | 5.10| 0.44| 0.16| 0.36| 0.23| 0.32|CS 22169-008
Ca I  | 13| | 3.98| 0.49| 0.11| 0.22| 0.13| 0.23|CS 22169-008
Sc II |  6| | 0.51|-0.06| 0.09| 0.15| 0.21| 0.12|CS 22169-008
Ti I  |  7| | 2.54| 0.44| 0.07| 0.20| 0.11| 0.21|CS 22169-008
Ti II | 25| | 2.67| 0.31| 0.08| 0.15| 0.20| 0.12|CS 22169-008
V II  |  2|<| 1.65| 0.31|     |     |     |     |CS 22169-008
Cr I  |  5| | 2.66|-0.13| 0.07| 0.21| 0.10| 0.22|CS 22169-008
Cr II |  1| | 3.36| 0.31| 0.08| 0.15| 0.22| 0.11|CS 22169-008
Mn I  |  3| | 2.17|-0.41| 0.06| 0.20| 0.09| 0.21|CS 22169-008
Mn II |  4| | 2.33|-0.51| 0.16| 0.21| 0.25| 0.18|CS 22169-008
Co I  |  5| | 2.20| 0.06| 0.16| 0.25| 0.17| 0.25|CS 22169-008
Ni I  | 10| | 3.27|-0.10| 0.15| 0.26| 0.17| 0.26|CS 22169-008
Zn I  |  2|<| 2.25| 0.54|     |     |     |     |CS 22169-008
Rb I  |  1|<| 2.57| 2.90|     |     |     |     |CS 22169-008
Sr II |  2| | 0.28| 0.00| 0.04| 0.23| 0.25| 0.23|CS 22169-008
Y II  |  2| |-0.80|-0.42| 0.18| 0.22| 0.27| 0.20|CS 22169-008
Zr II |  1|<| 0.36| 0.37|     |     |     |     |CS 22169-008
Nb II |  1|<| 1.27| 2.40|     |     |     |     |CS 22169-008
Mo I  |  1|<| 0.84| 1.81|     |     |     |     |CS 22169-008
Tc I  |  1|<| 1.23|     |     |     |     |     |CS 22169-008
Ba II |  1| |-1.20|-0.79| 0.06| 0.14| 0.21| 0.09|CS 22169-008
Ce II |  5|<|-0.08| 0.93|     |     |     |     |CS 22169-008
Pr II |  5|<|-0.58| 1.29|     |     |     |     |CS 22169-008
Nd II |  5|<|-0.30| 0.87|     |     |     |     |CS 22169-008
Sm II |  2|<|-0.12| 1.51|     |     |     |     |CS 22169-008
Eu II |  1|<|-1.18| 0.89|     |     |     |     |CS 22169-008
Gd II |  3|<| 0.11| 1.63|     |     |     |     |CS 22169-008
Tb II |  3|<|-0.47| 1.82|     |     |     |     |CS 22169-008
Dy II |  3|<|-0.55| 0.94|     |     |     |     |CS 22169-008
Ho II |  1|<|-0.73| 1.38|     |     |     |     |CS 22169-008
Er II |  2|<|-0.51| 1.16|     |     |     |     |CS 22169-008
Tm II |  2|<|-0.77| 1.72|     |     |     |     |CS 22169-008
Yb II |  1|<|-1.23| 0.44|     |     |     |     |CS 22169-008
Hf II |  2|<| 0.31| 2.05|     |     |     |     |CS 22169-008
Pb I  |  1|<| 1.45| 2.26|     |     |     |     |CS 22169-008
Th II |  3|<|-0.44| 2.09|     |     |     |     |CS 22169-008
Fe I  |109| | 4.19|-3.31| 0.06| 0.15| 0.00| 0.00|CS 22169-035
Fe II |  9| | 4.38|-3.12| 0.06| 0.15| 0.00| 0.00|CS 22169-035
Li I  |  1|<|-0.09|     |     |     |     |     |CS 22169-035
C (CH)|  1| | 4.98|-0.33| 0.15| 0.25| 0.19| 0.19|CS 22169-035
N (NH)|  1| | 5.31| 0.60| 0.30| 0.36| 0.32| 0.32|CS 22169-035
O I   |  4|<| 6.23| 0.85|     |     |     |     |CS 22169-035
Mg I  |  6| | 4.59| 0.30| 0.05| 0.15| 0.08| 0.17|CS 22169-035
Al I  |  1| | 2.48|-0.66| 0.09| 0.30| 0.23| 0.28|CS 22169-035
Si I  |  1| | 5.23| 1.03| 0.16| 0.27| 0.22| 0.28|CS 22169-035
K I   |  1| | 2.17| 0.45| 0.13| 0.18| 0.14| 0.21|CS 22169-035
Ca I  | 11| | 3.24| 0.21| 0.11| 0.17| 0.12| 0.20|CS 22169-035
Sc II |  5| |-0.37|-0.40| 0.06| 0.15| 0.17| 0.08|CS 22169-035
Ti I  | 13| | 1.43|-0.21| 0.06| 0.14| 0.08| 0.18|CS 22169-035
Ti II | 29| | 1.71|-0.12| 0.06| 0.15| 0.17| 0.09|CS 22169-035
V I   |  1| | 0.20|-0.42| 0.13| 0.18| 0.14| 0.21|CS 22169-035
V II  |  2| | 0.36|-0.45| 0.22| 0.26| 0.28| 0.23|CS 22169-035
Cr I  | 11| | 2.04|-0.28| 0.06| 0.15| 0.08| 0.18|CS 22169-035
Cr II |  2| | 2.55| 0.03| 0.08| 0.16| 0.19| 0.10|CS 22169-035
Mn I  |  5| | 1.78|-0.34| 0.05| 0.15| 0.08| 0.18|CS 22169-035
Mn II |  1| | 1.57|-0.74| 0.14| 0.28| 0.27| 0.27|CS 22169-035
Co I  |  3| | 1.31|-0.37| 0.13| 0.20| 0.14| 0.22|CS 22169-035
Ni I  |  6| | 2.86|-0.05| 0.13| 0.19| 0.15| 0.21|CS 22169-035
Cu I  |  1|<| 0.80|-0.08|     |     |     |     |CS 22169-035
Zn I  |  2| | 1.70| 0.45| 0.06| 0.14| 0.09| 0.18|CS 22169-035
Rb I  |  1|<| 1.82| 2.61|     |     |     |     |CS 22169-035
Sr II |  2| |-0.37|-0.12| 0.03| 0.21| 0.20| 0.22|CS 22169-035
Y II  |  4| |-1.71|-0.81| 0.09| 0.17| 0.19| 0.11|CS 22169-035
Zr II |  3| |-0.75|-0.21| 0.07| 0.15| 0.18| 0.09|CS 22169-035
Nb II |  1|<|-0.03| 1.63|     |     |     |     |CS 22169-035
Mo I  |  1|<|-0.82| 0.61|     |     |     |     |CS 22169-035
Tc I  |  1|<|-0.52|     |     |     |     |     |CS 22169-035
Ba II |  2| |-2.58|-1.64| 0.07| 0.15| 0.18| 0.09|CS 22169-035
Ce II |  4|<|-2.16|-0.62|     |     |     |     |CS 22169-035
Pr II |  4|<|-2.50|-0.10|     |     |     |     |CS 22169-035
Nd II |  5|<|-2.21|-0.51|     |     |     |     |CS 22169-035
Sm II |  2|<|-2.10| 0.06|     |     |     |     |CS 22169-035
Eu II |  2|<|-3.28|-0.68|     |     |     |     |CS 22169-035
Gd II |  2|<|-1.66| 0.39|     |     |     |     |CS 22169-035
Tb II |  3|<|-2.44| 0.38|     |     |     |     |CS 22169-035
Dy II |  2|<|-2.57|-0.55|     |     |     |     |CS 22169-035
Ho II |  1|<|-2.44| 0.20|     |     |     |     |CS 22169-035
Er II |  1|<|-2.07| 0.13|     |     |     |     |CS 22169-035
Tm II |  2|<|-2.60| 0.42|     |     |     |     |CS 22169-035
Yb II |  1|<|-3.09|-0.89|     |     |     |     |CS 22169-035
Hf II |  2|<|-1.32| 0.95|     |     |     |     |CS 22169-035
Pb I  |  1|<| 0.14| 1.41|     |     |     |     |CS 22169-035
Th II |  3|<|-2.27| 0.79|     |     |     |     |CS 22169-035
Fe I  | 95| | 4.96|-2.54| 0.06| 0.21| 0.00| 0.00|CS 22171-031
Fe II |  8| | 5.08|-2.42| 0.07| 0.14| 0.00| 0.00|CS 22171-031
Li I  |  1| | 2.09|     | 0.06| 0.20| 0.09| 0.20|CS 22171-031
C (CH)|  1| | 6.25| 0.25| 0.15| 0.25| 0.19| 0.19|CS 22171-031
N (NH)|  1|<| 6.50| 1.10|     |     |     |     |CS 22171-031
O I   |  3| | 6.59| 0.44| 0.08| 0.21| 0.11| 0.21|CS 22171-031
Mg I  |  7| | 5.45| 0.38| 0.05| 0.22| 0.09| 0.21|CS 22171-031
Al I  |  2| | 3.17|-0.74| 0.09| 0.31| 0.20| 0.30|CS 22171-031
Si I  |  3|<| 5.87| 0.90|     |     |     |     |CS 22171-031
Ca I  | 12| | 4.27| 0.47| 0.11| 0.22| 0.13| 0.23|CS 22171-031
Sc II |  3| | 0.84| 0.11| 0.08| 0.15| 0.21| 0.11|CS 22171-031
Ti I  |  6| | 2.81| 0.40| 0.07| 0.20| 0.10| 0.21|CS 22171-031
Ti II | 17| | 2.96| 0.44| 0.07| 0.14| 0.20| 0.10|CS 22171-031
V II  |  1| | 2.00| 0.49| 0.26| 0.29| 0.33| 0.27|CS 22171-031
Cr I  |  6| | 3.01|-0.09| 0.07| 0.21| 0.09| 0.21|CS 22171-031
Cr II |  1| | 3.45| 0.23| 0.07| 0.15| 0.21| 0.10|CS 22171-031
Mn I  |  4| | 2.74|-0.15| 0.08| 0.21| 0.10| 0.22|CS 22171-031
Mn II |  1| | 2.88|-0.13| 0.16| 0.21| 0.25| 0.19|CS 22171-031
Co I  |  2| | 2.51| 0.05| 0.12| 0.23| 0.14| 0.23|CS 22171-031
Ni I  |  6| | 3.84| 0.16| 0.13| 0.27| 0.16| 0.26|CS 22171-031
Zn I  |  2|<| 2.44| 0.42|     |     |     |     |CS 22171-031
Rb I  |  1|<| 2.48| 2.50|     |     |     |     |CS 22171-031
Sr II |  2| | 0.74| 0.29| 0.04| 0.24| 0.25| 0.25|CS 22171-031
Y II  |  1| |-0.47|-0.26| 0.19| 0.22| 0.27| 0.20|CS 22171-031
Zr II |  2| | 0.58| 0.42| 0.12| 0.17| 0.23| 0.14|CS 22171-031
Nb II |  1|<| 1.42| 2.38|     |     |     |     |CS 22171-031
Mo I  |  1|<| 1.04| 1.70|     |     |     |     |CS 22171-031
Tc I  |  1|<| 1.36|     |     |     |     |     |CS 22171-031
Ba II |  2| |-0.72|-0.48| 0.08| 0.15| 0.21| 0.11|CS 22171-031
Ce II |  5|<| 0.08| 0.92|     |     |     |     |CS 22171-031
Pr II |  5|<|-0.36| 1.34|     |     |     |     |CS 22171-031
Nd II |  5|<|-0.27| 0.73|     |     |     |     |CS 22171-031
Sm II |  2|<|-0.01| 1.45|     |     |     |     |CS 22171-031
Eu II |  3|<|-1.35| 0.55|     |     |     |     |CS 22171-031
Gd II |  3|<| 0.19| 1.54|     |     |     |     |CS 22171-031
Tb II |  4|<|-0.29| 1.83|     |     |     |     |CS 22171-031
Dy II |  3|<|-0.29| 1.03|     |     |     |     |CS 22171-031
Ho II |  2|<|-0.64| 1.30|     |     |     |     |CS 22171-031
Er II |  3|<|-0.11| 1.39|     |     |     |     |CS 22171-031
Tm II |  2|<|-0.57| 1.75|     |     |     |     |CS 22171-031
Yb II |  1|<|-1.17| 0.33|     |     |     |     |CS 22171-031
Hf II |  1|<| 0.34| 1.91|     |     |     |     |CS 22171-031
Pb I  |  1|<| 1.54| 2.04|     |     |     |     |CS 22171-031
Th II |  2|<|-0.35| 2.01|     |     |     |     |CS 22171-031
Fe I  | 43| | 3.87|-3.63| 0.09| 0.21| 0.00| 0.00|CS 22171-037
Fe II |  3| | 4.15|-3.35| 0.12| 0.17| 0.00| 0.00|CS 22171-037
Li I  |  1| | 1.99|     | 0.06| 0.20| 0.11| 0.23|CS 22171-037
C (CH)|  1|<| 6.10| 1.01|     |     |     |     |CS 22171-037
N (CN)|  1|<| 8.20| 3.71|     |     |     |     |CS 22171-037
O I   |  3|<| 5.89| 0.83|     |     |     |     |CS 22171-037
Na I  |  2| | 2.51|-0.10| 0.11| 0.22| 0.14| 0.24|CS 22171-037
Mg I  |  4| | 4.31| 0.34| 0.10| 0.22| 0.13| 0.25|CS 22171-037
Al I  |  2| | 2.04|-0.78| 0.12| 0.23| 0.15| 0.25|CS 22171-037
Si I  |  1| | 3.96| 0.08| 0.17| 0.26| 0.19| 0.28|CS 22171-037
Ca I  |  6| | 3.25| 0.54| 0.14| 0.24| 0.17| 0.26|CS 22171-037
Sc II |  2| |-0.20| 0.00| 0.09| 0.15| 0.23| 0.15|CS 22171-037
Ti II | 11| | 1.80| 0.20| 0.07| 0.14| 0.21| 0.14|CS 22171-037
V I   |  1|<| 1.77| 1.47|     |     |     |     |CS 22171-037
V II  |  2|<| 1.79| 1.21|     |     |     |     |CS 22171-037
Cr I  |  2| | 1.90|-0.11| 0.07| 0.20| 0.11| 0.23|CS 22171-037
Mn I  |  8|<| 1.31|-0.49|     |     |     |     |CS 22171-037
Co I  |  4|<| 1.90| 0.54|     |     |     |     |CS 22171-037
Ni I  |  1| | 2.59| 0.00| 0.17| 0.33| 0.25| 0.34|CS 22171-037
Cu I  |  1|<| 2.30| 1.74|     |     |     |     |CS 22171-037
Zn I  |  2|<| 2.34| 1.41|     |     |     |     |CS 22171-037
Ga I  |  1|<| 1.46| 2.05|     |     |     |     |CS 22171-037
Rb I  |  1|<| 2.87| 3.98|     |     |     |     |CS 22171-037
Sr II |  1| |-1.85|-1.37| 0.12| 0.17| 0.24| 0.17|CS 22171-037
Y II  |  6|<|-0.18| 0.96|     |     |     |     |CS 22171-037
Zr II |  3|<| 0.27| 1.04|     |     |     |     |CS 22171-037
Nb II |  1|<| 1.47| 3.36|     |     |     |     |CS 22171-037
Mo I  |  1|<| 1.14| 2.89|     |     |     |     |CS 22171-037
Tc I  |  1|<| 1.45|     |     |     |     |     |CS 22171-037
Ba II |  4|<|-1.70|-0.53|     |     |     |     |CS 22171-037
La II |  4|<|-0.77| 1.48|     |     |     |     |CS 22171-037
Ce II |  5|<| 0.00| 1.77|     |     |     |     |CS 22171-037
Pr II |  5|<|-0.33| 2.30|     |     |     |     |CS 22171-037
Nd II |  5|<|-0.14| 1.79|     |     |     |     |CS 22171-037
Sm II |  2|<|-0.11| 2.28|     |     |     |     |CS 22171-037
Eu II |  4|<|-1.27| 1.56|     |     |     |     |CS 22171-037
Gd II |  3|<| 0.20| 2.48|     |     |     |     |CS 22171-037
Tb II |  4|<|-0.37| 2.68|     |     |     |     |CS 22171-037
Dy II |  3|<|-0.30| 1.95|     |     |     |     |CS 22171-037
Ho II |  2|<|-0.47| 2.40|     |     |     |     |CS 22171-037
Er II |  1|<|-0.15| 2.28|     |     |     |     |CS 22171-037
Tm II |  2|<|-0.66| 2.59|     |     |     |     |CS 22171-037
Yb II |  1|<|-1.10| 1.33|     |     |     |     |CS 22171-037
Hf II |  2|<| 0.60| 3.10|     |     |     |     |CS 22171-037
Pb I  |  1|<| 1.54| 3.13|     |     |     |     |CS 22171-037
Th II |  2|<|-0.28| 3.01|     |     |     |     |CS 22171-037
Fe I  |106| | 4.82|-2.68| 0.06| 0.14| 0.00| 0.00|CS 22172-029
Fe II | 11| | 4.80|-2.70| 0.06| 0.15| 0.00| 0.00|CS 22172-029
Li I  |  1| | 0.67|     | 0.09| 0.16| 0.10| 0.19|CS 22172-029
C (CH)|  1| | 5.80| 0.07| 0.15| 0.25| 0.19| 0.19|CS 22172-029
N (NH)|  1| | 5.03|-0.10| 0.30| 0.36| 0.32| 0.32|CS 22172-029
O I   |  3| | 6.61| 0.59| 0.14| 0.19| 0.15| 0.22|CS 22172-029
Mg I  |  4| | 5.47| 0.55| 0.05| 0.16| 0.09| 0.19|CS 22172-029
Al I  |  1| | 3.05|-0.72| 0.09| 0.30| 0.24| 0.29|CS 22172-029
K I   |  1| | 2.67| 0.32| 0.12| 0.18| 0.14| 0.21|CS 22172-029
Ca I  | 10| | 4.19| 0.52| 0.10| 0.17| 0.12| 0.20|CS 22172-029
Sc II |  7| | 0.37|-0.08| 0.05| 0.15| 0.17| 0.09|CS 22172-029
Ti I  | 18| | 2.45| 0.17| 0.05| 0.14| 0.08| 0.18|CS 22172-029
Ti II | 25| | 2.49| 0.24| 0.06| 0.15| 0.17| 0.09|CS 22172-029
V I   |  1| | 1.10|-0.15| 0.11| 0.17| 0.12| 0.20|CS 22172-029
V II  |  2| | 1.33| 0.11| 0.19| 0.24| 0.26| 0.20|CS 22172-029
Cr I  | 13| | 2.76|-0.21| 0.06| 0.15| 0.08| 0.18|CS 22172-029
Cr II |  3| | 3.13| 0.20| 0.08| 0.16| 0.19| 0.11|CS 22172-029
Mn I  |  3| | 2.36|-0.39| 0.06| 0.14| 0.09| 0.18|CS 22172-029
Mn II |  4| | 2.30|-0.43| 0.15| 0.21| 0.22| 0.17|CS 22172-029
Co I  |  6| | 2.17|-0.14| 0.13| 0.22| 0.16| 0.24|CS 22172-029
Ni I  | 11| | 3.69| 0.14| 0.12| 0.18| 0.13| 0.21|CS 22172-029
Cu I  |  1|<| 1.21|-0.30|     |     |     |     |CS 22172-029
Zn I  |  2| | 2.08| 0.19| 0.06| 0.15| 0.09| 0.18|CS 22172-029
Rb I  |  1|<| 1.79| 1.95|     |     |     |     |CS 22172-029
Sr II |  2| | 0.05|-0.11| 0.04| 0.25| 0.25| 0.25|CS 22172-029
Y II  |  5| |-0.95|-0.46| 0.11| 0.17| 0.20| 0.12|CS 22172-029
Zr II |  3| |-0.08| 0.04| 0.07| 0.15| 0.18| 0.09|CS 22172-029
Nb II |  1|<| 0.35| 1.59|     |     |     |     |CS 22172-029
Mo I  |  1|<|-0.30| 0.50|     |     |     |     |CS 22172-029
Tc I  |  1|<| 0.27|     |     |     |     |     |CS 22172-029
Ba II |  3| |-0.86|-0.34| 0.06| 0.15| 0.17| 0.09|CS 22172-029
La II |  4| |-1.70|-0.10| 0.14| 0.20| 0.22| 0.15|CS 22172-029
Ce II |  1|<|-0.64| 0.48|     |     |     |     |CS 22172-029
Pr II |  1| |-1.43| 0.55| 0.07| 0.16| 0.18| 0.10|CS 22172-029
Nd II |  1| |-1.26| 0.02| 0.08| 0.16| 0.19| 0.11|CS 22172-029
Sm II |  2| |-1.63| 0.11| 0.14| 0.20| 0.22| 0.15|CS 22172-029
Eu II |  3| |-1.99| 0.20| 0.07| 0.16| 0.18| 0.09|CS 22172-029
Gd II |  1|<|-0.70| 0.93|     |     |     |     |CS 22172-029
Tb II |  1|<|-0.70| 1.70|     |     |     |     |CS 22172-029
Dy II |  1| |-1.33| 0.27| 0.08| 0.16| 0.19| 0.10|CS 22172-029
Er II |  2| |-1.46| 0.32| 0.39| 0.42| 0.43| 0.40|CS 22172-029
Tm II |  1| |-2.23| 0.37| 0.44| 0.46| 0.47| 0.44|CS 22172-029
Yb II |  1| |-1.83|-0.05| 0.12| 0.18| 0.21| 0.14|CS 22172-029
Hf II |  1|<|-0.77| 1.08|     |     |     |     |CS 22172-029
